patRIL	chamber	Pre	Learning	Memory	file
11004	8	1.000	0.8561	1.000	12.hbx
11004	10	-1.000	0.9094	1.000	12.hbx
11004	2	1.000	0.9894	1.000	13.hbx
11004	4	-1.000	0.9706	1.000	13.hbx
11004	12	0.7467	0.9611	1.000	13.hbx
11006	0	0.6600	0.8900	0.7400	11006_001A_6min.hbx
11006	2	-0.7733	0.8722	-0.4156	11006_001A_6min.hbx
11006	7	0.9733	0.8722	1.000	11006_001A_6min.hbx
11006	8	-0.7000	0.7911	-0.2711	11006_001A_6min.hbx
11006	10	-1.000	0.8861	0.7067	11006_001A_6min.hbx
11006	12	0.3600	0.8983	1.000	11006_001A_6min.hbx
11006	15	1.000	0.8456	1.000	11006_001A_6min.hbx
11006	0	-1.000	0.9122	1.000	11006_001B_6min.hbx
11006	4	1.000	0.9756	-0.9378	11006_001B_6min.hbx
11006	6	0.5733	0.9856	-0.7344	11006_001B_6min.hbx
11006	8	0.8733	0.9717	0.9211	11006_001B_6min.hbx
11006	11	0.9600	0.9278	1.000	11006_001B_6min.hbx
11006	12	0.9600	0.9789	1.000	11006_001B_6min.hbx
11006	0	-1.000	0.8617	1.000	11006_002A_6min.hbx
11006	2	-1.000	0.9044	0.3878	11006_002A_6min.hbx
11006	4	-0.6733	-0.5778	1.000	11006_002A_6min.hbx
11006	7	-0.8333	0.8517	1.000	11006_002A_6min.hbx
11006	8	-0.9600	0.9650	0.8367	11006_002A_6min.hbx
11006	11	1.000	0.9506	-0.5344	11006_002A_6min.hbx
11006	12	1.000	0.7261	1.000	11006_002A_6min.hbx
11006	2	1.000	0.9361	1.000	11006_002B_6min.hbx
11006	6	1.000	0.9822	-0.2544	11006_002B_6min.hbx
11006	7	0.1733	0.9161	0.9722	11006_002B_6min.hbx
11006	10	0.1067	0.9939	1.000	11006_002B_6min.hbx
11006	11	0.9867	0.9428	1.000	11006_002B_6min.hbx
11006	12	-0.04667	0.9900	0.8556	11006_002B_6min.hbx
11006	0	1.000	0.9939	0.2800	11006_003A_6min.hbx
11006	2	1.000	0.9667	1.000	11006_003A_6min.hbx
11006	4	1.000	0.9889	1.000	11006_003A_6min.hbx
11006	6	-1.000	0.8228	1.000	11006_003A_6min.hbx
11006	8	0.9667	0.9483	1.000	11006_003A_6min.hbx
11006	11	-1.000	0.6700	-0.8122	11006_003A_6min.hbx
11006	12	1.000	0.8300	0.2511	11006_003A_6min.hbx
11006	0	1.000	0.9344	1.000	11006_003B_6min.hbx
11006	6	1.000	0.9839	1.000	11006_003B_6min.hbx
11006	7	-1.000	0.9444	1.000	11006_003B_6min.hbx
11006	8	-1.000	0.9556	1.000	11006_003B_6min.hbx
11006	10	-1.000	0.9722	-0.2756	11006_003B_6min.hbx
11006	11	0.8733	0.9722	1.000	11006_003B_6min.hbx
11006	12	-0.4667	0.9756	-0.8222	11006_003B_6min.hbx
11006	5	-1.000	0.8078	0.9956	1.hbx
11006	8	-0.6533	0.7522	0.1900	1.hbx
11006	10	0.7000	0.9978	0.9956	1.hbx
11006	2	1.000	0.9517	1.000	2.hbx
11006	4	0.1800	-0.9767	-1.000	2.hbx
11006	5	1.000	0.9694	0.3467	2.hbx
11006	6	1.000	0.9761	0.7556	2.hbx
11006	9	-0.5800	0.6667	1.000	2.hbx
11006	10	1.000	0.9111	1.000	2.hbx
11006	14	0.1733	0.9772	-0.5489	2.hbx
11006	0	1.000	0.9761	0.8011	3.hbx
11006	4	1.000	0.8211	1.000	3.hbx
11006	5	-0.7333	0.9817	1.000	3.hbx
11006	6	1.000	0.9883	-0.1589	3.hbx
11006	8	1.000	0.8889	1.000	3.hbx
